id	count
0	0
1	23
2	6
3	0
4	33
5	20
6	345
7	0
8	25
9	19
10	6
11	31
12	180
13	158
14	0
15	0
16	0
17	214
18	87
19	9
20	4
21	36
22	129
23	5
24	61
25	44
26	112
27	32
28	28
29	97
30	5
31	16
32	21
33	0
34	65
35	15
36	160
37	78
38	0
39	92
40	24
41	37
42	109
43	0
44	9
45	82
46	11
47	99
48	199
49	11
50	4
51	63
52	0
53	20
54	0
55	28
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
